frances,español
ancien,antiguo
autre,otro
beau,bonito
bizarre,estraño
blanc,blanco
bleu,azul
bonne,buena
certain,seguro
chaud,caliente
cher,caro
clair,claro
content,contento
dernier,último
désolé,arrepentido
différent,diferente
difficile,difícil
doux,suave
droit,recto
drôle,gracioso
entier,entero
étrange,estraño
facile,fácil
faux,falso
fort,fuerte
français,francés
froid,frío
gentil,gentil
grand,grande
grave,grave
gros,gordo
haut,alto
heureux,feliz
humain,humano
important,importante
impossible,imposible
jeune,joven
joli,lindo
juste,justo
léger,ligero
libre,libre
long,largo
malade,enfermo
mauvais,malo
meilleur,mejor
même,mismo
mort,muerte
noir,negro
nouveau,nuevo
pareil,igual
pauvre,pobre
petit,pequeño
plein,lleno
possible,posible
premier,primero
prêt,listo/preparado
prochain,próximo
propre,limpio
quoi,qué
rouge,rojo
sale,sucio
sérieux,serio
seul,solo
simple,sencillo
super,súper
tout,todo
toute,toda
tranquille,tranquilo
triste,triste
vert,verde
vide,vacío
vieux,viejo
vivant,vivo
vrai,verdadero
