frances,español
accord,acuerdo
agent,agente
amour,amor
appel,llamada
arbre,árbol
argent,dinero
avenir,futuro
avion,avión
avis,opinión
bateau,barco
bébé,bebé
besoin,necesidad
bois,madera
bonheur,alegría
bonjour,buenos días
bord,orilla
boulot,trabajo (coloquial)
bout,trozo
bras,brazo
bruit,ruido
bureau,despcho
café,café
camp,campo
capitaine,capitán
chat,gato
chef,jefe
chemin,camino
chéri,cariño
cheval,caballo
cheveu,pelo
chien,perro
choix,elección
ciel,cielo
client,cliente
cœur,corazón
coin,esquina
colonel,coronel
compte,cuenta
copain,novio
corps,cuerpo
côté,lado
coup,golpe
courant,corriente
cours,clase
début,inicio
départ,partida
dieu,dios
docteur,doctor
doigt,dedo
dollar,dólar
doute,duda
droit,derecho
effet,efecto
endroit,lugar
enfant,niño
ennemi,enemigo
escalier,escalera
esprit,mente
état,estado
être,ser
exemple,ejemplo
fait,hecho
film,película
fils,hijo
flic,policía
fond,fondo
français,francés
frère,hermano
front,frente
garçon,chico
garde,guarda
gars,chico
général,general
genre,género
gens,gente
geste,gesto
gosse,niño (coloquial)
goût,sabor
gouvernement,gobierno
groupe,grupo
homme,hombre
honneur,honor
hôtel,hotel
instant,momento
intérêt,interés
intérieur,interior
jardin,jardín
jour,día
journal,periódico
lieu,lugar
livre,libro
maître,maestro
mari,marido
mariage,boda
matin,la mañana
médecin,médico
merci,gracias
mètre,metro
milieu,medio
million,millón
mois,mes
moment,momento
monde,mundo
monsieur,señor
mort,muerte
mouvement,movimiento
moyen,medio
nouveau,nuevo
numéro,número
oeil,ojo
oiseau,pájaro
oncle,tío
ordre,orden
papa,papá
papier,papel
parent,padres
passage,paso
passé,pasado
patron,patrón
pays,país
père,padre
petit,pequeño
peuple,pueblo
pied,pie
plaisir,placer
plan,plan
point,punto
pouvoir,poder
premier,primero
présent,presente
président,presidente
prince,príncipe
prix,precio
problème,problema
professeur,profesor
propos,palabras
quartier,barrio
rapport,relación
regard,mirada
reste,resto
retard,retraso
retour,vuelta
rêve,sueño
salut,saludo
sang,sangre
secret,secreto
seigneur,Señor (espiritual)
sens,sentido
sentiment,sentimiento
service,servicio
siècle,siglo
signe,señal
silence,silencio
soir,noche
soldat,soldado
soleil,sol
sourire,sonrisa
souvenir,recuerdo
sujet,tema
téléphone,teléfono
temps,tiempo
tout,todo
train,tren
travail,trabajo
travers,rareza
trou,hueco
truc,cosa (coloquial)
type,tipo
vent,viento
ventre,barriga
verre,vaso
vieux,viejo
village,pueblo
visage,cara
voyage,viaje
affaire,asunto
aide,ayuda
année,año
arme,arma
armée,ejército
attention,atención
balle,bola
boîte,caja
bouche,boca
carte,tarjeta
cause,causa
chambre,habitación
chance,suerte
chose,cosa
classe,clase
confiance,confianza
couleur,color
cour,patio
cuisine,cocina
dame,señora
dent,diente
droite,derecha
école,escuela
église,iglesia
envie,ganas
épaule,hombro
époque,época
équipe,equipo
erreur,error
espèce,especie
face,cara
façon,manera
faim,hambre
famille,familia
faute,culpa
femme,mujer
fenêtre,ventana
fête,fiesta
fille,chica
fleur,flor
fois,vez
force,fuerza
forme,forma
gauche,izquierda
guerre,guerra
gueule,boca (animales)
habitude,costumbre
heure,hora
histoire,historia
idée,idea
image,imagen
impression,impresión
jambe,pierna
joie,alegría
journée,diá
langue,lengua
lettre,letra
lèvre,labio
ligne,línea
lumière,luz
madame,señora
main,mano
maison,casa
maman,mamá
manière,manera
marche,escalón
merde,mierda
mère,madre
minute,minuto
musique,música
nuit,noche
odeur,olor
ombre,sombra
oreille,oreja
paix,paz
parole,palabra
part,parte
partie,parte
peau,piel
peine,pena
pensée,pensamiento
personne,persona
peur,miedo
photo,foto
pièce,pieza
pierre,piedra
place,plaza
poche,bolsillo
police,policía
porte,puerta
présence,presencia
prison,cárcel
putain,prostituta (interjección)
question,cuestión
raison,razón
réponse,respuesta
robe,vestido
route,carretera
salle,sala
scène,escena
seconde,segundo
sécurité,seguridad
semaine,semana
situation,situación
soeur,hermana
soirée,noche
sorte,tipo
suite,seguida
table,mesa
terre,tierra
tête,cabeza
tour,torre
vérité,verdad
ville,ciudad
voiture,coche
voix,voz
